ASSINATURA;VENCIMENTO;FORNECEDOR;TIPO;VALOR;OBJETIVO
02/01/2014;31/12/2014;DIESEL TRACTOR PEÇAS PARA TRATORES LTDA. EPP;Compras em Geral;27272;A CONTRATADA SE OBRIGA A ENTREGAR PEÇAS E ACESSÓRIOS GENUÍNOS OU ORIGINAIS PARA VEÍCULOS DE GRANDE PORTE (MÁQUINAS). PARA ATENDER AS NECESSIDADES DA MANUTENÇÃO CORRETIVA DA FROTA DE TRATORES DA PMNF.
02/01/2014;31/12/2014;AUTO PEÇAS MINEIRA LTDA.;Compras em Geral;31818;A CONTRATADA SE OBRIGA A ENTREGA  DE PEÇAS E ACESSÓRIOS GENUÍNOS OU ORIGINAIS PARA VEÍCULOS DE GRANDE PORTE (MÁQUINAS). PARA ATENDER AS NECESSIDADES DA MANUTENÇÃO CORRETIVA DA FROTA DA PMNF.
02/01/2014;31/12/2014;KANSAS AUTO PEÇAS COMERCIAL LTDA.;Compras em Geral;22726;DE PEÇAS E ACESSÓRIOS GENUÍNOS OU ORIGINAIS PARA VEÍCULOS DE GRANDE PORTE (MÁQUINAS) PARA ATENDER AS NECESSIDADES DA MANUTENÇÃO CORRETIVA DA FROTA DE TRATORES DA PMNF.
02/01/2014;31/12/2014;HP HIDRAULICA AUTO PEÇAS LTDA.;Compras em Geral;18180;A CONTRATADA SE OBRIGA A ENTREGA DE PEÇAS GENUÍNA OU ORIGINAL PARA VEÍCULOS DE GRANDE PORTE (MÁQUINAS). PARA ATENDER AS NECESSIDADES DA MANUTENÇÃO CORRETIVA DA FROTA DE TRATORES DA PMNF.
20/01/2014;21/04/2014;KATANA CONSTRUTORA LTADA.;Obras e Serviços de Engenharia;362252.33;A CONTRATADA SE OBRIGA Á REALIZAÇÃO DE OBRAS DE REFORMA DO HEMOCENTRO DE NOVA FRIBURGO UNIDADE DE HEMOTERAPIA E HEMATOLOGIA.
23/01/2014;02/12/2014;ECOM - SISTEMA ENGENHARIA E MEIO AMBIENTE LTDA ME;Obras e Serviços de Engenharia;543750.71;A CONTRATADA SE OBRIGA A REFORMAR A ESCOLA MUNICIPAL NAIR DE ARAÚJO RODRIGUES NA  LOCALIDADE DE SÃO GERALDO. CONFORME ESPECIFICAÇÕES. CONDIÇÕES E QUANTIDADES CONSTANTES NO ANEXOS DO EDITAL.
01/01/2014;31/12/2014;FRANCISCO JOSÉ DAUDT;Locação de Imóveis;1932.66;O PRESENTE CONTRATO TEM POR OBJETO A LOCAÇÃO DO IMÓVEL DO LOCADOR. SITUADFO NA RUA GUSTAVO LIRA 209. OLARIOA. PARA INSTALAÇÃO DO PONTO DE CULTURA DE OLARIA.
20/02/2014;21/05/2014;KATANA CONSTRUTORA LTADA.;Contrato de PPP - Serviços em Geral;190495.9;A CONTRATADA SE OBRIGA Á REALIZAÇÃO DE PRESTAÇÃO DE CONTAS DE RECUPERAÇÃO DE PAVIMENTAÇÃO EM PARALELEPÍPEDOS. PARA VIAS PÚBLICAS. CONFORME ESPECIFICAÇÕES. CONDIÇÕES E QUANTIDADES DETALHADOS NA PROPOSTA.
14/02/2014;31/12/2014;MANOEL NUNES DE JESUS;Compras em Geral;344418;A CONTRATADA SE OBRIGA AO FORNECIMENTO DE GÊNEROS ALIMENTÍCIOS. SOMENTE DO LOTE 04. PARA ATENDER AS NECESSIDADES DAS UNIDADES ESCOLARES DO MUNICÍPIO DE NOVA FRIBURGO.
11/02/2014;31/12/2014;W. SUCESSO DE FRIBURGO COM  DE PROD. ALIMEN. BEBID;Compras em Geral;137940;A CONTRATADA SE OBRIGA AO FORNECIMENTO  DE  PÂO FRANCÊS COM 50 GRS. PARA CONFECÇÃO DO LANCHE MATINAL DOS TRABALHADORES BRAÇAIS
