ASSINATURA;VENCIMENTO;FORNECEDOR;TIPO;VALOR;OBJETIVO
10/01/2012;14/12/2012;ASSOC. SERRA NOVA DOS TRAB. RURAIS DE N. FRIBURGO;Compras em Geral;234163;AQUISIÇÃO DE GÊNEROS ALIMENTÍCIOS DA AGRICULTURA FAMILIAR E EMPREENDEDOR FAMILIAR RURAL.
03/01/2012;31/12/2013;TELEMAR NORTE LESTE S.A. - OI;Prestação de serviços;1680000;PRESTAÇÃO DE SERVIÇO DE TELEFONIA FIXA PESSOAL (SMP). PARA REALIZAÇÃO DE LIGAÇÕES TELEFÔNICAS EM CARÁTER LOCAL E DE LONGA DISTÂNCIA COM FACILIDADE DE PABX VIRTUAL.
14/02/2012;19/06/2012;CAMINHOS DOURADOS AGENCIA DE VIAGENS E TURISMO LTD;Prestação de serviços;2067532.8;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA PRESTAÇÃO DE SERVIÇOS DE TRANSPORTE ESCOLAR.
17/02/2012;21/02/2012;LOKASOM SONORIZACAO LTDA ME;Prestação de serviços;74800;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM LOCAÇÃO DE ESTRUTURA E PALCOS. CAMARIM E PASSARELA PARA A REALIZAÇÃO DO CARNAVAL DE 2012.
17/02/2012;22/02/2012;LOKASOM SONORIZACAO LTDA ME;Prestação de serviços;278060;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM SONORIZAÇÃO E ILUMINAÇÃO CENICA PARA A REALIZAÇÃO DO CARNAVAL DE 2012.
02/02/2012;31/12/2012;RÁDIO SOCIEDADE DE NOVA FRIBURGO;Prestação de serviços;180012;VEICULAÇÃO DE PROGRAMA DE PRESTAÇÃO DE CONTAS DO MUNICÍPIO NO ANO DE 2012 E INSERÇÕES INFORMATIVAS. PARA DIVULGAR AÇÕES. PROGRAMAÇÃO DE EVENTOS E OU CAMPANHAS DE INTERESSE DA MUNICIPALIDADE.
15/02/2012;31/12/2012;PETROBRAS DISTRIBUIDORA S.A;Compras em Geral;899100;AQUISIÇÃO DE COMBUSTÍVEL - GASOLINA E BIODISEL - PARA ABASTECIMENTO DO FROTA MUNICIPAL. COM INSTALAÇÃO DE EQUIPAMENTOS EM CONSIGNAÇÃO.
17/02/2012;21/02/2012;RENATO MORGADO PRODUÇÕES LTDA;Cessão de uso de bens;68600;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM LOCAÇÃO DE GRADES METÁLICAS PARA A REALIZAÇÃO DO CARNAVAL 2012.
17/02/2012;21/02/2012;RENATO MORGADO PRODUÇÕES LTDA;Cessão de uso de bens;76600;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM LOCAÇÃO DE BANHEIROS QUÍMICOS PARA A REALIZAÇÃO DO CARNAVAL DE 2012.
17/02/2012;21/02/2012;H.V FINTELMAN LOCAÇÃO E SERVIÇOS -ME - FIRMA INDIV;Prestação de serviços;79450;CONTRATAÇÃO E EMPRESA ESPECIALIZADA EM SERVIÇO DE APOIO A SEGURANÇA PARA A REALIZAÇÃO DO CARNAVAL DE 2012.
29/03/2012;31/12/2012;FRIGAS FRIBURGO REVENDEDORA DE GAS LTDA;Compras em Geral;32380;AQUISIÇÃO DE GÁS GLP - 13 KG E 45 KG . PARA A SECRETÁRIA MUNICIPAL DE ADMINISTRAÇÃO.
05/03/2012;01/01/1973;NATUREZA ENGENHARIA LTDA;Obras e Serviços de Engenharia;161902.48;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA ADAPTAÇÃO DE ESPAÇO FÍSICO PARA IMPLANTAÇÃO DE PISTA DE SKATE - NOVA FRIBURGO
20/03/2012;06/05/2013;CONFRI DE NOVA FRIBURGO LTDA. - ME;Prestação de serviços;40000;CONTRATAÇÃO DE EMPRESA DE TURISMO ESPECIALIZADA PARA A PRESTAÇÃO DE SERVIÇOS DE AGENTE DE VIAGEM PARA OS ÓRGÃOS DA  ADMINISTRAÇÃO DIRETA DO MUNICÍPIO DE NOVAFRIBURGO.
28/03/2012;31/12/2012;DISTRIBUIDORA FRIMINERAL LTDA;Compras em Geral;30500;
05/03/2012;03/05/2012;LUNA TRUDE CONSTRUÇÕES LTDA;Obras e Serviços de Engenharia;42995.75;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA ADAPTAÇÃO DE ESPAÇO FÍSICO PARA IMPLANTAÇÃO DE EQUIPAMENTOS PARA ESPORTE (ACADEMIA ATI) - PRAÇA LINO ALVES FONSEC
12/03/2012;08/11/2012;LUNA TRUDE CONSTRUÇÕES LTDA;Obras e Serviços de Engenharia;299392.07;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA CONSTRUÇÃO DE MURO NA CRECHE SOLARES E/OU REFORMA E AMPLIAÇÃO DA ESCOLA MUNICIPAL FLORÂNDIA DA SERRA - NOVA FRIBURGO.
28/03/2012;31/12/2012;O. MAROTI IND. COM. E DISTRIBUIÇÃO DE ALIMENTOS;Compras em Geral;295830;AQUISIÇÃO DE GÊNEROS ALIMENTÍCIOS PARA ATENDER AS NECESSIDADES DAS UNIDADES ESCOLARES DO MUNICÍPIO DE NOVA FRIBURGO.
28/03/2012;31/12/2012;ERMAR ALIMENTOS LTDA;Compras em Geral;2182879;AQUISIÇÃO DE GÊNEROS ALIMENTÍCIOS PARA  ATENDER  AS NECESSIDADES DAS UNIDADES ESCOLARES DO MUNICÍPIO DE NOVA FRIBURGO.
28/03/2012;31/12/2012;COMERCIAL MILANO BRASIL LTDA.;Compras em Geral;2406579;A CONTRATADA SE OBRIGA AO FORNECIMENTO DE GÊNEROS ALIMENTÍCIOS PARA ATENDER AS NECESSIDADES DAS UNIDADES ESCOLARES DO MUNICÍPIO DE NOVA FRIBURGO.
