ASSINATURA;VENCIMENTO;FORNECEDOR;TIPO;VALOR;OBJETIVO
12/01/2015;07/01/2016;TELEMAR NORTE LESTE S.A. - OI;Prestação de serviços;533884.56;A CONTRATADA SE OBRIGA À PRESTAÇÃO DE SERVIÇO DE TELEFONIA FIXA COMUTADA (STCF)  PARA A REALIZAÇÃO DE LIGAÇÕES  TELEFÔNICAS EM CARÁTER LOCAL E DE LONGA DISTÂNCIA. CONFORME ESPECIFICAÇÕES CONDIÇÕES E QUANTIDADES CONSTANTES NAS REQUISIÇÕES DE SERVIÇOS - FLS
01/01/2015;21/12/2016;LUIZ HENRIQUE DE SOUZA DUTRA DA COSTA;Locação de Imóveis;11262.44;O PRESENTE CONTRATO DE LOCAÇÃO. TEM COMO OBJETO O IMÓVEL DO LOCADOR  . SITUADO NA AVENIDA JÚLIO ANTONIO THURLER. Nº 18. OLARIA. NESTE MUNICÍPIO. PARA FINS DE INSTALAÇÃO DO CENTRO VOCACIONAL TECNOLÓGICO - CVT.
01/01/2015;31/12/2016;MUNICÍPIO DE NOVA FRIBURGO;Locação de Imóveis;3500;O PRESENTE CONTRATO DE LOCAÇÃO TEM COMO OBJETO O IMÓVEL DO LOCADOR ( MARCIUS BEYRUTH SCWARTZ ) SITUADO NA AVENIDA JULIO ANTONIO THURLER. Nº 430. OLARIA. NESTE MUNICÍPIO. PARA FINS DE INSTALAÇÃO DO CENTRO DE REFERÊNCIA DE ASSISTÊNCIA SOCIAL - CRAS.
01/01/2015;22/12/2015;MUNICÍPIO DE NOVA FRIBURGO;Locação de Imóveis;2003.68;O PRESENTE CONTRATO DE LOCAÇÃO TEM COMO OBJETO O IMÓVEL DO LOCADOR ( FRANCISCO JOSÉ DAUDT ) . SITUADO NA  RUA GUSTAVO LIRA. Nº209 - LOJA -  OLARIA.  PARA INSTALAÇÃO DO  PONTO DE CULTURA DE OLARIA.
01/01/2015;31/12/2015;FRIGAS FRIBURGO REVENDEDORA DE GAS LTDA;Compras em Geral;334100;A CONTRATADA SE OBRIGA AO FORNECIMENTO DE GÁS GLP - 13 KG. E 45 KG. CONFORME ESPECIFICAÇÕES  CONDIÇÕES E QUANTIDADES CONSTANTES NO ANEXO  I  E NA PROPOSTA  DETALHE DO EDITAL DO CERTAME EM REFERÊNCIA E NO RESULTADO DO JULGAMENTO.
26/01/2015;24/07/2015;FABICON ENGENHARIA CONSTRUTORA E PAISAGISMO LTDA.;Obras e Serviços de Engenharia;648024.54;A CONTRATADA SE OBRIGA À PRESTAÇÃO DE SERVIÇO DE REFORMA (EM 180 DIAS).  E AMPLIAÇÃO E CONSTRUÇÃO DE MURO (  PRAZO PARA O MURO.  90 DIAS). DA ESCOLA MUNICIPAL PASTOR SCHLUPP - MARIA TEREZA - NOVA FRIBURGO. CONFORME ESPECIFICAÇÕES. CONDIÇÕES E QUANTIDADES CO
16/01/2015;15/01/2016;GRANRIO ENGENHARIA LTDA;Obras e Serviços de Engenharia;1463947.48;A CONTRATADA SE OBRIGA À REALIZAÇÃO DA CONSTRUÇÃO DA  CRECHE GIRASSOL. CONFORME ESPECIFICAÇÕES. CONDIÇÕES E QUANTIDADES CONSTANTES  NOS ANEXOS DO EDITAL DO CERTAME EM REFERÊNCIA. -  § 1º  - O OBJETO PODERÁ SOFRER ACRÉSCIMOS OU SUPRESSÕES. NOS  LIMITES PR
27/01/2015;26/10/2015;ECOM - SISTEMA ENGENHARIA E MEIO AMBIENTE LTDA ME;Obras e Serviços de Engenharia;692391.28;A CONTRATADA SE OBRIGA À PRESTAÇÃO DO SERVIÇO  DE REFORMA E AMPLIAÇÃO DA ESCOLA MUNICIPAL ALCIDES FRANCISCO BRANTES - NOVA FRIBURGO. CONFORME ESPECIFICAÇÕES . CONDIÇÕES E QUANTIDADES CONSTANTES NOS ANEXOS DO EDITAL DO CERTAME EM REFERÊNCIA. - § 1º - O OBJ
01/01/2015;31/12/2015;W. SUCESSO DE FRIBURGO COM  DE PROD. ALIMEN. BEBID;Compras em Geral;161500;A CONTRATADA SE OBRIGA AO FORNECIMENTO  DE PÃO FRANCÊS PARA O LANCHE MATINAL DOS FUNCIONÁRIOS DAS SECRETARIAS DA  PREFEITURA  MUNICIPAL DE NOVA FRIBURGO. CONFORME ESPECIFICAÇÕES. CONDIÇÕES. E QUANTIDADES CONSTANTES NOI ANEXO  I  E NA PROPOSTA  DETALHE DO
01/01/2015;31/12/2015;FRIGAS FRIBURGO REVENDEDORA DE GAS LTDA;Compras em Geral;41527.2;A CONTRATADA SE OBRIGA  AO FORNECIMENTO  DE GÁS GLP - 13 KG E 45 KG.. CONFORME ESPECIFICAÇÕES. CONDIÇÕES E QUANTIDADES  CONSTANTES NO ANEXO  I  E NA PROPOSTA DETALHE DO EDITAL  DO CERTAME EM REFERÊNCIA E NO RESULTADO  DO JULGAMENTO.
